B0BF1A	Acid Green
A020F0	Veronica
74BBFB	Very Light Azure
6666FF	Very Light Blue
64E986	Very Light Malachite Green
FFB077	Very Light Tangelo
FFDFBF	Very Pale Orange
FFFFBF	Very Pale Yellow
8F00FF	Violet
7F00FF	Color Wheel Violet
8601AF	Ryb Violet
EE82EE	Web Violet
324AB2	Violet-Blue
F75394	Violet-Red
40826D	Viridian
009698	Viridian Green
7C9ED9	Vista Blue
CC9900	Vivid Amber
922724	Vivid Auburn
9F1D35	Vivid Burgundy
DA1D81	Vivid Cerise
00AAEE	Vivid Cerulean
CC0033	Vivid Crimson
FF9900	Vivid Gamboge
A6D608	Vivid Lime Green
00CC33	Vivid Malachite
B80CE3	Vivid Mulberry
FF5F00	Vivid Orange
FFA000	Vivid Orange Peel
CC00FF	Vivid Orchid
FF006C	Vivid Raspberry
F70D1A	Vivid Red
DF6124	Vivid Red-Tangelo
00CCFF	Vivid Sky Blue
F07427	Vivid Tangelo
FFA089	Vivid Tangerine
E56024	Vivid Vermilion
9F00FF	Vivid Violet
FFE302	Vivid Yellow
004242	Warm Black
A4F4F9	Waterspout
645452	Wenge
F5DEB3	Wheat
FFFFFF	White
F5F5F5	White Smoke
A2ADD0	Wild Blue Yonder
D470A2	Wild Orchid
FF43A4	Wild Strawberry
FC6C85	Wild Watermelon
FD5800	Willpower Orange
A75502	Windsor Tan
722F37	Wine
673147	Wine Dregs
C9A0DC	Wisteria
C19A6B	Wood Brown
738678	Xanadu
0F4D92	Yale Blue
1C2841	Yankees Blue
FFFF00	Yellow
FCE883	Crayola Yellow
EFCC00	Munsell Yellow
FFD300	Ncs Yellow
FEDF00	Pantone Yellow
FFEF00	Process Yellow
FEFE33	Ryb Yellow
9ACD32	Yellow-Green
FFAE42	Yellow Orange
FFF000	Yellow Rose
0014A8	Zaffre
2C1608	Zinnwaldite Brown
39A78E	Zomp
